mysql-sql> select * from orderdetails limit 10;
+---------+-----------+-----------+----------+----------+
| OrderID | ProductID | UnitPrice | Quantity | Discount |
+---------+-----------+-----------+----------+----------+
|   10248 |        11 |   14.0000 |       12 |        0 |
|   10248 |        42 |    9.8000 |       10 |        0 |
|   10248 |        72 |   34.8000 |        5 |        0 |
|   10249 |        14 |   18.6000 |        9 |        0 |
|   10249 |        51 |   42.4000 |       40 |        0 |
|   10250 |        41 |    7.7000 |       10 |        0 |
|   10250 |        51 |   42.4000 |       35 |        0 |
|   10250 |        65 |   16.8000 |       15 |        0 |
|   10251 |        22 |   16.8000 |        6 |        0 |
|   10251 |        57 |   15.6000 |       15 |        0 |
+---------+-----------+-----------+----------+----------+
10 rows in set (0.02 sec)
mysql-sql> select orderid , productid, unitprice from orderdetails group by productid;
+---------+-----------+-----------+
| orderid | productid | unitprice |
+---------+-----------+-----------+
|   10285 |         1 |   14.4000 |
|   10255 |         2 |   15.2000 |
|   10289 |         3 |    8.0000 |
|   10309 |         4 |   17.6000 |
|   10258 |         5 |   17.0000 |
|   10309 |         6 |   20.0000 |
|   10262 |         7 |   24.0000 |
|   10344 |         8 |   32.0000 |
|   10420 |         9 |   77.6000 |
|   10273 |        10 |   24.8000 |
|   10248 |        11 |   14.0000 |
|   10266 |        12 |   30.4000 |
|   10276 |        13 |    4.8000 |
|   10249 |        14 |   18.6000 |
|   10283 |        15 |   12.4000 |
|   10255 |        16 |   13.9000 |
|   10265 |        17 |   31.2000 |
|   10293 |        18 |   50.0000 |
|   10281 |        19 |    7.3000 |
|   10252 |        20 |   64.8000 |
|   10259 |        21 |    8.0000 |
|   10251 |        22 |   16.8000 |
|   10337 |        23 |    7.2000 |
|   10254 |        24 |    3.6000 |
|   10323 |        25 |   11.2000 |
|   10330 |        26 |   24.9000 |
|   10257 |        27 |   35.1000 |
|   10277 |        28 |   36.4000 |
|   10268 |        29 |   99.0000 |
|   10263 |        30 |   20.7000 |
|   10253 |        31 |   10.0000 |
|   10258 |        32 |   25.6000 |
|   10252 |        33 |    2.0000 |
|   10287 |        34 |   11.2000 |
|   10261 |        35 |   14.4000 |
|   10255 |        36 |   15.2000 |
|   10259 |        37 |   20.8000 |
|   10329 |        38 |  210.8000 |
|   10253 |        39 |   14.4000 |
|   10267 |        40 |   14.7000 |
|   10250 |        41 |    7.7000 |
|   10248 |        42 |    9.8000 |
|   10270 |        43 |   36.8000 |
